time,magnitude,longitude,latitude,depth_km,utmx,utmy
29/2/2020 2:01,,101.134118,-1.647984,-0.82,737431.5207,9817720.536
29/2/2020 18:07,,101.17533,-1.64155,3.12534,742019.5363,9818427.244
29/2/2020 18:13,,101.132478,-1.654326,2.674,737248.2249,9817019.256
29/2/2020 18:26,,101.13938,-1.65054,-0.28352,738016.9143,9817437.193
3/3/2020 12:42,,101.16876,-1.50235,2.83249,741304.2252,9833825.024
4/3/2020 9:25,,101.16128,-1.61878,1.12579,740458.3389,9820947.531
4/3/2020 9:35,,101.28239,-1.57693,4.90664,753944.842,9825562.165
4/3/2020 9:46,,101.22208,-1.52863,3.09833,747236.7776,9830912.111
4/3/2020 9:52,,101.19442,-1.58168,3.29163,744151.5989,9825047.29
4/3/2020 11:42,,101.18609,-1.60292,1.79394,743221.8563,9822698.874
5/3/2020 9:08,,101.1912,-1.60804,4.12986,743790.0603,9822131.931
5/3/2020 17:13,,101.141156,-1.647649,-0.315,738214.9399,9817756.749
5/3/2020 19:30,,101.14075,-1.65906,7.51818,738168.3878,9816494.644
9/3/2020 16:02,,101.13966,-1.58932,8.12724,738055.2323,9824208.608
9/3/2020 16:02,,101.16594,-1.53649,6.78893,740986.5242,9830049.101
12/3/2020 22:14,,101.1679,-1.54837,1.39952,741203.3631,9828734.828
18/3/2020 20:17,,101.16713,-1.59347,4.73233,741112.4756,9823746.386
19/3/2020 10:24,,101.12927,-1.618791,0.286,736895.328,9820950.085
19/3/2020 23:14,,101.123208,-1.606969,0.567,736221.9442,9822258.391
20/3/2020 20:07,,101.148986,-1.646603,-0.498,739086.6036,9817871.508
20/3/2020 20:24,,101.141527,-1.643112,0.877,738256.7738,9818258.536
20/3/2020 20:24,,101.140326,-1.644334,0.764,738122.9484,9818123.516
20/3/2020 20:31,,101.147772,-1.64359,1.113,738951.8346,9818204.919
21/3/2020 15:43,,101.164176,-1.631044,2.306,740779.2406,9819590.663
22/3/2020 16:48,,101.16908,-1.54131,4.99714,741335.5119,9829515.604
22/3/2020 19:40,,101.16558,-1.54228,5.64977,740945.8001,9829408.708
23/3/2020 23:09,,101.19411,-1.67335,0.41671,744106.0575,9814907.483
25/3/2020 21:17,,101.159948,-1.634818,0.508,740308.1741,9819173.727
25/3/2020 23:08,,101.142618,-1.646948,0.473,738377.7547,9817834.111
25/3/2020 23:38,,101.141312,-1.643874,0.651,738232.7522,9818174.278
